PickupSector,DisposalSite, Distance (km)
ANJ-311,Lafarge (sud) (MHM),7.215255
ANJ-311,Langelier (SLE),2.917329
ANJ-311,Newman (S-O),25.606355
ANJ-311,Ray-Lawson (ANJ),4.00143
ANJ-311,Sartelon (SLA),18.319232
ANJ-311,Thimens (SLA),18.557721
ANJ-312,St-Michel - Charland (VSP),5.418479
ANJ-312,St-Michel - Robert (VSP),5.743117
ANJ-312,St-Michel-17ième(Sous-Sol),7.165888
ANJ-312,Butler (S-O),22.585975
ANJ-312,De la Salle (MHM),12.898763
ANJ-312,Fullum (VMA),15.988683
ANJ-312,Iberville (PMR),13.156836
ANJ-312,Jules-Poitras 1 (AHU),14.172438
ANJ-312,Jules-Poitras 2 (SLA),12.798366
ANJ-312,Lausanne (MTN),5.446957
ANJ-312,Millen (AHU),9.279813
ANJ-312,Riverside (VMA),19.912941
ANJ-312,Saint-Pierre (LAC),25.006709
ANJ-312,Sauvé (AHU),11.782341
ANJ-312,Verdun (VER),24.029
ANJ-312,46 ieme (LAC),24.406145
ANJ-312,Angrignon (LAS),27.682283
ANJ-312,Armand-Chaput (RDP),8.765164
ANJ-312,Autoroute 13 (PRF),32.450703
ANJ-312,Château Pierrefonds (PRF),48.865734
ANJ-312,Lafarge (sud) (MHM),9.047518
ANJ-312,Langelier (SLE),1.159088
ANJ-312,Newman (S-O),26.91392
ANJ-312,Ray-Lawson (ANJ),2.628005
ANJ-312,Sartelon (SLA),17.570041
ANJ-312,Thimens (SLA),21.031668
CDN-111,St-Michel - Charland (VSP),17.281162
CDN-111,St-Michel - Robert (VSP),16.517775
CDN-111,St-Michel-17ième(Sous-Sol),16.412941
CDN-111,Butler (S-O),4.789453
CDN-111,De la Salle (MHM),13.143606
CDN-111,Fullum (VMA),10.112552
CDN-111,Iberville (PMR),11.895476
CDN-111,Jules-Poitras 1 (AHU),12.017136
CDN-111,Jules-Poitras 2 (SLA),11.852427
CDN-111,Lausanne (MTN),17.598797
CDN-111,Millen (AHU),14.255004
CDN-111,Riverside (VMA),11.005181
CDN-111,Saint-Pierre (LAC),2.667292
CDN-111,Sauvé (AHU),13.104409
CDN-111,Verdun (VER),5.052907
CDN-111,46 ieme (LAC),13.228788
CDN-111,Angrignon (LAS),5.468237
CDN-111,Armand-Chaput (RDP),29.957592
CDN-111,Autoroute 13 (PRF),17.937484
CDN-111,Château Pierrefonds (PRF),28.463551
CDN-111,Lafarge (sud) (MHM),22.332682
CDN-111,Langelier (SLE),20.89965
CDN-111,Newman (S-O),6.9767
CDN-111,Ray-Lawson (ANJ),22.88841
CDN-111,Sartelon (SLA),19.518213
CDN-111,Thimens (SLA),11.210956
CDN-112,St-Michel - Charland (VSP),15.367493
CDN-112,St-Michel - Robert (VSP),14.604105
CDN-112,St-Michel-17ième(Sous-Sol),14.499272
CDN-112,Butler (S-O),7.38313
CDN-112,De la Salle (MHM),14.409891
CDN-112,Fullum (VMA),11.378836
