Removal Site 1,Removal Site 2,Distance
LAS-330,AHU-107,21.98
LAS-333,AHU-107,22.76
MHM-105,AHU-107,13.59
MHM-106,AHU-107,13.24
MHM-107,AHU-107,11.33
MHM-108,AHU-107,9.55
MHM-109,AHU-107,9.43
MHM-209,AHU-107,9.81
MHM-210,AHU-107,9.56
MHM-211,AHU-107,12.16
MTN-102,AHU-107,13.1
MTN-103,AHU-107,15
MTN-104,AHU-107,8.56
MTN-305,AHU-107,4.91
MTN-307,AHU-107,13.49
OUT-101,AHU-107,6.91
PMR-101,AHU-107,5.51
PMR-102,AHU-107,7.41
PMR-203,AHU-107,6.16
PMR-204,AHU-107,7.86
PRF-304B,AHU-107,26.86
PRF-304C,AHU-107,26.82
PRF-304D,AHU-107,24.86
PRF-304E,AHU-107,23.05
PRF-304F,AHU-107,11.23
RDP-101,AHU-107,22.89
RDP-102,AHU-107,14.95
RDP-103,AHU-107,22.89
RDP-105,AHU-107,21.64
RDP-106,AHU-107,21.36
RDP-107,AHU-107,18.58
RDP-201,AHU-107,16.9
RDP-202,AHU-107,17.23
RDP-203,AHU-107,18.58
RPP-101,AHU-107,4.69
RPP-102,AHU-107,6.83
RPP-103,AHU-107,7.43
RPP-104,AHU-107,8.63
RPP-201,AHU-107,3.67
RPP-204,AHU-107,4.81
RPP-205,AHU-107,6.87
SLA-363,AHU-107,7.01
SLA-364,AHU-107,5.82
SLA-365,AHU-107,8.79
SLA-366,AHU-107,5.33
SLA-367,AHU-107,9.53
SLA-368,AHU-107,9.25
SLA-369,AHU-107,5.89
SLA-370,AHU-107,11.92
SLA-371,AHU-107,4.56
SLE-109,AHU-107,7.89
SLE-110,AHU-107,9.53
SLE-111,AHU-107,10.31
SLE-303,AHU-107,9.67
SLE-304,AHU-107,9.67
S-O-103,AHU-107,21.16
S-O-104,AHU-107,19.1
S-O-201A,AHU-107,17.83
S-O-201B,AHU-107,16.65
VER-310A,AHU-107,25.82
VER-310B,AHU-107,21.71
VMA-109,AHU-107,10.87
VMA-110,AHU-107,18.65
VMA-111,AHU-107,8.38
VMA-306,AHU-107,8.09
VMA-307,AHU-107,8.51
VSP-103,AHU-107,2.55
VSP-104,AHU-107,2.47
VSP-107,AHU-107,3.35
VSP-108,AHU-107,3.79
VSP-109,AHU-107,2.12
VSP-205,AHU-107,3.56
VSP-206,AHU-107,4.12
AHU-101,AHU-201,5.73
AHU-102,AHU-201,3.92
AHU-103,AHU-201,5.73
AHU-104,AHU-201,3.72
AHU-105,AHU-201,3.01
AHU-106,AHU-201,4.77
AHU-107,AHU-201,2.15
AHU-201,AHU-201,0
AHU-202,AHU-201,1.86
ANJ-101,AHU-201,15.06
ANJ-309,AHU-201,13.83
ANJ-310,AHU-201,13.16
ANJ-311,AHU-201,10.8
ANJ-312,AHU-201,9.46
CDN-111,AHU-201,14.43
CDN-112,AHU-201,12.52
CDN-113,AHU-201,12.9
CDN-114,AHU-201,11.11
CDN-115,AHU-201,11.96
CDN-116,AHU-201,11.67
CDN-301,AHU-201,13.5
IBI-301,AHU-201,35.54
LAC-102,AHU-201,16.84
LAC-104,AHU-201,14.38
LAC-305,AHU-201,15.06
LAC-306,AHU-201,17.49
LAS-321,AHU-201,20.57
LAS-323,AHU-201,25.54
LAS-325,AHU-201,23.21
LAS-326,AHU-201,22.86
LAS-327,AHU-201,22.68
LAS-328,AHU-201,23.15
LAS-329,AHU-201,20.87
LAS-330,AHU-201,22.92
LAS-333,AHU-201,23.7
MHM-105,AHU-201,15.15
MHM-106,AHU-201,14.79
MHM-107,AHU-201,12.89
MHM-108,AHU-201,11.11
MHM-109,AHU-201,10.99
MHM-209,AHU-201,11.37
MHM-210,AHU-201,11.12
MHM-211,AHU-201,13.71
MTN-102,AHU-201,9.43
MTN-103,AHU-201,9.42
MTN-104,AHU-201,6.88
MTN-305,AHU-201,5.44
MTN-307,AHU-201,9.8
OUT-101,AHU-201,9.85
PMR-101,AHU-201,7.65
PMR-102,AHU-201,9.58
PMR-203,AHU-201,8.27
PMR-204,AHU-201,9.41
PRF-304B,AHU-201,27.8
PRF-304C,AHU-201,27.76
PRF-304D,AHU-201,25.8
PRF-304E,AHU-201,29.38
PRF-304F,AHU-201,10.63
RDP-101,AHU-201,21.21
RDP-102,AHU-201,21.22
RDP-103,AHU-201,21.21
RDP-105,AHU-201,23.2
RDP-106,AHU-201,22.92
RDP-107,AHU-201,20.14
RDP-201,AHU-201,22.27
RDP-202,AHU-201,18.78
RDP-203,AHU-201,20.14
RPP-101,AHU-201,6.87
RPP-102,AHU-201,8.39
RPP-103,AHU-201,8.99
RPP-104,AHU-201,10.18
RPP-201,AHU-201,5.23
RPP-204,AHU-201,6.37
RPP-205,AHU-201,8.42
SLA-363,AHU-201,6.41
SLA-364,AHU-201,7.19
SLA-365,AHU-201,8.19
SLA-366,AHU-201,4.74
SLA-367,AHU-201,8.94
SLA-368,AHU-201,8.65
SLA-369,AHU-201,7.33
SLA-370,AHU-201,9.99
SLA-371,AHU-201,6
SLE-109,AHU-201,9.44
SLE-110,AHU-201,8.27
SLE-111,AHU-201,9.04
SLE-303,AHU-201,11.23
SLE-304,AHU-201,11.23
S-O-103,AHU-201,22.1
S-O-104,AHU-201,20.04
S-O-201A,AHU-201,18.77
S-O-201B,AHU-201,17.59
VER-310A,AHU-201,20.51
VER-310B,AHU-201,22.65
VMA-109,AHU-201,24.41
VMA-110,AHU-201,19.59
VMA-111,AHU-201,10.56
VMA-306,AHU-201,10.32
VMA-307,AHU-201,10.51
VSP-103,AHU-201,4.11
VSP-104,AHU-201,2.91
VSP-107,AHU-201,4.91
VSP-108,AHU-201,5.35
VSP-109,AHU-201,4.26
VSP-205,AHU-201,4.98
VSP-206,AHU-201,5.67
AHU-101,AHU-202,2.69
AHU-102,AHU-202,2.4
AHU-103,AHU-202,2.69
AHU-104,AHU-202,2.2
AHU-105,AHU-202,2.27
AHU-106,AHU-202,6.09
AHU-107,AHU-202,2.57
AHU-201,AHU-202,2.07
AHU-202,AHU-202,0
ANJ-101,AHU-202,16.27
ANJ-309,AHU-202,15.04
ANJ-310,AHU-202,14.36
ANJ-311,AHU-202,12.01
ANJ-312,AHU-202,10.84
CDN-111,AHU-202,13.37
CDN-112,AHU-202,11.46
CDN-113,AHU-202,11.85
